Flight_Number,Departure_Airport,Arrival_Airport,Flight_Date,Flight_Time,Booking_Date,Booking_Channel,Passenger_ID,Age,Travel_Class,Ticket_Price,Fare_Class,Payment_Method,Flight_Month,Date,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Month,Holiday_Name,Holiday_Date,Holiday_Type,Holiday_Indicator,Weather_Condition,Temperature,Wind_Speed,Precipitation,Departure_Delay,Cancellation,Competitor_Price,Booking_Lead_Time,Airline,Flight_Date_Numeric,Booking_Date_Numeric,Flight_Time_Minutes,Holiday_Date_Numeric
DA404,ORD,LAS,2023-11-13,12:21:00,2023-11-02,Travel Agency,4369,23,Economy,486.46,Regular,Credit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-13,Non-Holiday,0,Fog,34.64,8.28,7.8,121,0,1183.91,11,Delta Airlines,316,401,741,316
AA100,LAX,SFO,2023-01-21,03:49:00,2022-11-09,Phone,4238,31,First Class,910.27,Regular,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-21,Non-Holiday,0,Fog,14.96,14.97,0.57,69,0,1387.2,73,American Airlines,20,43,229,20
EA505,DEN,LAS,2023-07-03,03:08:00,2023-04-18,Online,4069,43,Economy,878.58,Regular,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-03,Non-Holiday,0,Fog,11.11,14.55,17.36,178,0,1174.27,76,Emirates,183,203,188,183
EA505,DFW,ATL,2023-11-10,17:49:00,2023-11-01,Online,1436,60,First Class,1115.96,Premium,Credit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-10,Non-Holiday,0,Fog,22.73,8.3,13.05,223,0,902.82,9,Emirates,313,400,1069,313
EA505,JFK,MIA,2023-06-05,08:05:00,2023-03-01,Travel Agency,4216,19,First Class,1056.31,Premium,Debit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-05,Non-Holiday,0,Snow,-7.37,15.23,41.47,18,0,457.5,96,Emirates,155,155,485,155
DA404,LAX,ATL,2023-03-10,07:23:00,2022-12-20,Online,2849,23,Business,1030.8,Premium,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-10,Non-Holiday,0,Snow,22.77,19.56,6.22,201,0,255.18,80,Delta Airlines,68,84,443,68
DA404,ORD,SFO,2023-05-19,03:20:00,2023-03-08,Phone,4602,25,Business,575.68,Regular,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-19,Non-Holiday,0,Storm,34.43,7.99,10.12,238,0,1071.7,72,Delta Airlines,138,162,200,138
DA404,JFK,SFO,2023-05-13,11:38:00,2023-03-25,Online,3421,50,Economy,1326.59,Regular,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-13,Non-Holiday,0,Storm,10.16,19.23,37.97,75,0,810.85,49,Delta Airlines,132,179,698,132
DA404,DFW,SFO,2023-08-15,15:50:00,2023-08-05,Online,4827,42,Business,1134.28,Premium,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-15,Non-Holiday,0,Storm,1.21,19.23,12.3,85,0,82.15,10,Delta Airlines,226,312,950,226
CA303,DFW,ATL,2023-05-15,20:45:00,2023-04-02,Travel Agency,2354,65,Economy,370.15,Premium,Debit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-15,Non-Holiday,0,Storm,0.21,14.9,31.31,30,0,200.51,43,Air Canada,134,187,1245,134
